observation_date,PALUMUSDM
2016-03-01,1531.011904761905
2016-04-01,1571.226190476190
2016-05-01,1550.625000000000
2016-06-01,1593.506818181818
2016-07-01,1629.047619047619
2016-08-01,1639.284090909091
2016-09-01,1592.363636363636
2016-10-01,1665.904761904762
2016-11-01,1737.113636363636
2016-12-01,1727.737500000000
2017-01-01,1791.238095238095
2017-02-01,1860.750000000000
2017-03-01,1901.467391304348
2017-04-01,1921.222222222222
2017-05-01,1913.023809523810
2017-06-01,1885.286363636364
2017-07-01,1902.964285714286
2017-08-01,2030.011363636364
2017-09-01,2096.488095238095
2017-10-01,2131.488636363636
2017-11-01,2097.440909090909
2017-12-01,2080.473684210526
2018-01-01,2209.727272727273
2018-02-01,2181.787500000000
2018-03-01,2069.238095238095
2018-04-01,2254.687500000000
2018-05-01,2299.666666666667
2018-06-01,2237.619047619048
2018-07-01,2082.238636363636
2018-08-01,2051.511363636364
2018-09-01,2026.462500000000
2018-10-01,2029.858695652174
2018-11-01,1938.511363636364
2018-12-01,1920.381578947368
2019-01-01,1853.715909090909
2019-02-01,1862.987500000000
2019-03-01,1871.214285714286
2019-04-01,1845.425000000000
2019-05-01,1781.261904761905
2019-06-01,1755.950000000000
2019-07-01,1796.989130434783
2019-08-01,1740.678571428571
2019-09-01,1753.511904761905
2019-10-01,1725.956521739130
2019-11-01,1774.785714285714
2019-12-01,1771.380000000000
2020-01-01,1773.090909090909
2020-02-01,1688.095000000000
2020-03-01,1610.890909090909
2020-04-01,1459.934500000000
2020-05-01,1466.371578947368
2020-06-01,1568.570454545455
2020-07-01,1643.812173913043
2020-08-01,1738.555238095238
2020-09-01,1743.774545454545
2020-10-01,1806.101818181818
2020-11-01,1935.283333333333
2020-12-01,2014.671904761905
2021-01-01,2003.975500000000
2021-02-01,2078.593500000000
2021-03-01,2190.482608695652
2021-04-01,2319.392500000000
2021-05-01,2434.776500000000
2021-06-01,2446.645454545455
2021-07-01,2497.635454545455
2021-08-01,2602.991904761905
2021-09-01,2834.556818181818
2021-10-01,2934.393809523810
2021-11-01,2636.452272727273
2021-12-01,2695.531428571429
2022-01-01,3005.980500000000
2022-02-01,3245.785500000000
2022-03-01,3498.373043478261
2022-04-01,3246.990476190476
2022-05-01,2839.505454545455
2022-06-01,2575.669545454545
2022-07-01,2408.423333333333
2022-08-01,2433.916086956522
2022-09-01,2224.755909090909
2022-10-01,2255.535238095238
2022-11-01,2350.716363636364
2022-12-01,2398.206818181818
2023-01-01,2494.900909090909
2023-02-01,2416.181500000000
2023-03-01,2296.416956521739
2023-04-01,2338.131000000000
2023-05-01,2274.012608695652
2023-06-01,2184.753636363636
2023-07-01,2159.732380952381
2023-08-01,2135.581739130435
2023-09-01,2184.673809523810
2023-10-01,2194.390909090909
2023-11-01,2202.255454545455
2023-12-01,2192.005238095238
2024-01-01,2201.566521739130
2024-02-01,2179.457142857143
2024-03-01,2229.441904761905
2024-04-01,2499.228181818182
2024-05-01,2566.318695652174
2024-06-01,2497.605500000000
2024-07-01,2349.125217391304
2024-08-01,2352.467272727273
2024-09-01,2457.478095238095
2024-10-01,2595.583043478261
2024-11-01,2582.188571428571
2024-12-01,2540.882272727273
2025-01-01,2571.370434782609
2025-02-01,2655.772500000000
2025-03-01,2651.598571428571
2025-04-01,2367.800454545455
2025-05-01,2447.344090909091
2025-06-01,2525.959047619048
2025-07-01,2606.370869565217
2025-08-01,2598.735714285714
2025-09-01,2654.479090909091
2025-10-01,2793.086956521739
2025-11-01,2819.061500000000
2025-12-01,2875.897727272727
2026-01-01,3133.982727272727
2026-02-01,3065.188500000000
2026-03-01,3372.952727272727
